"adresse";"lat";"lon";"betalt"
"Åparken 11, 6823 Ansager";"55,7024376";"8,76124912";"0"
"Åparken 12, 6823 Ansager";"55,70210716";"8,75874009";"0"
"Åparken 13A, 6823 Ansager";"55,70229771";"8,76148515";"0"
"Åparken 13B, 6823 Ansager";"55,70228133";"8,76198074";"0"
"Åparken 13C, 6823 Ansager";"55,70226416";"8,76211801";"0"
"Åparken 13D, 6823 Ansager";"55,70224567";"8,76226737";"0"
"Åparken 14, 6823 Ansager";"55,70195933";"8,75863837";"0"
"Åparken 15, 6823 Ansager";"55,70210348";"8,76182493";"0"
"Åparken 16, 6823 Ansager";"55,70182942";"8,75924398";"0"
"Åparken 17, 6823 Ansager";"55,70184064";"8,76168062";"0"
"Åparken 18, 6823 Ansager";"55,70204677";"8,75932936";"0"
"Åparken 19, 6823 Ansager";"55,70162594";"8,76166156";"0"
"Åparken 20, 6823 Ansager";"55,70224593";"8,75930618";"0"
"Åparken 21, 6823 Ansager";"55,7014405";"8,76148353";"0"
"Åparken 22, 6823 Ansager";"55,70239746";"8,75960359";"0"
"Åparken 24, 6823 Ansager";"55,70231821";"8,76001365";"0"
"Åparken 26, 6823 Ansager";"55,70207147";"8,76010936";"0"
"Åparken 28, 6823 Ansager";"55,70189571";"8,75992268";"0"
"Åparken 30, 6823 Ansager";"55,70173084";"8,75983363";"0"
"Åparken 32, 6823 Ansager";"55,70164154";"8,76030277";"0"
"Åparken 34, 6823 Ansager";"55,70182275";"8,76042848";"0"
"Åparken 36, 6823 Ansager";"55,70202806";"8,76046876";"0"
"Åparken 38, 6823 Ansager";"55,70217499";"8,76080121";"0"
"Åparken 40, 6823 Ansager";"55,70208336";"8,76127483";"0"
"Åparken 42, 6823 Ansager";"55,70185372";"8,76119444";"0"
"Åparken 44, 6823 Ansager";"55,70168891";"8,76109377";"0"
"Åparken 46, 6823 Ansager";"55,70152653";"8,76094885";"0"
"Åvænget 1, 6823 Ansager";"55,70761291";"8,7505262";"0"
"Åvænget 3, 6823 Ansager";"55,7075525";"8,75015818";"0"
